编号	项目名称	所属行业	所属行业2	建设单位	建设地点1	建设地点2	投资主体性质	投资额（万元）	建设内容	经济指标	建设时间-起	建设时间-止	标签	项目性质	所属园区
57	地球物理数据（地震检波器制造）服务项目			西安森舍电子科技有限责任公司	陕西	西安							地球物理服务，数字地震检波器，地震数据采集，地球物理信息服务		
58	张掖市屋兰古镇文化旅游综合大景区项目	旅游业	旅游业		甘肃	张掖		469000	"张掖市屋兰古镇文化旅游综合大景区项目，子项目包含九曲黄河灯阵、灯笼工坊，屋兰古镇，甲子墩汉墓遗址公园，屋兰古镇民俗村，鸿丰农业田园休闲度假山庄，项目总占地约525公顷，项目总投资约46.9亿元人民币。
首期启动区（核心景区）分别为一期九曲黄河灯阵，二期灯笼工坊；地块用地面积355997平方米（约534亩），总建筑面积85411.4平方米；其中，九曲黄河灯阵总用地面积96541平方米（约144.81亩），总建筑面积22472.4平方米；灯笼工坊总用地面积259456平方米（约389.18亩），总建筑面积62939平方米。首期启动区建设计划投资4.7亿元，世界银行贷款将用于首期启动区的建设，还款来源主要以景区运营收入为主。"				古镇文化旅游，遗址公园，景区建设，非物质文化		
59	嘉峪关市丝绸之路文化博览园项目	旅游业	旅游业	嘉峪关丝绸之路文化科技有限公司	甘肃	嘉峪关	民营	145100	项目总建筑面积约49757.18平方米，主要以丝路文化、长城文化为创意基础，建设丝路传奇、长城故事、魅力戏曲、七彩王国等大型互动体验项目和展示历史文脉、地域文化和自然生态的特色建筑、景观、雕塑等，以及景区接待中心、智慧景区系统的建设：数据中心、服务端、使用端、AR导览系统、餐饮等配套服务设施，打造集观赏游览、文化体验、娱乐休闲等于一体的文化旅游景区		2017	2020	世界文化遗产，丝路文化，长城文化，旅游景区		
60	敦煌市悬泉置景区开发建设项目	旅游业	旅游业	敦煌市文化体育和广播影视局	甘肃	敦煌	政府	40066	以实施重大保护示范项目、建设遗址保护区为着力点，构建遗址保护新格局。充分发挥专项资金使用的综合效益，加强遗址保护管理能力建设，提高遗址保护展示水平，提升遗址服务社会的能力，实现遗址保护与生态文明建设、经济建设紧密结合，社会效益与经济效益协调统一，使遗址成为推动区域经济社会和谐发展的积极力量，使广大民众充分享受大遗址保护的成果。以遗址保护为突破口，探索创新符合我国国情的文物事业发展道路，为努力建设文化遗产强国作出更大贡献。		2017	2022	景区建设，遗址保护区，文化遗产，旅游景区	新建	
61	临洮县马家窑遗址保护展示利用开发项目	旅游业	旅游业	临洮县文化广播影视局	甘肃	定西	政府	22813	本项目利用遗址公园的功能，聚合更多文化资源，充分挖掘临洮本地的历史资源，建设公园服务接待中心、道路、交通、照明、园林、餐饮等；制作马家窑文化时期大型聚落的情景再现模型；民间收集马家窑彩陶真品展示、彩陶复制展示、遗址沙盘展示；制陶、战争、狩猎、采集等史前文化体验项目设计；创作以马家窑人远古悲欢为主的舞台文化演艺。		2017	2020	遗址公园，彩陶，文化遗产，旅游景区	新建	
62	秦安县大地湾遗址景区旅游基础设施建设项目	旅游业	旅游业	秦安大地湾文化旅游产业园开发有限公司	甘肃	天水		67300	以“复古”和发展大地湾文化旅游的指导思想，按照“大旅游、大产业、大市场、大发展”的战略思想，以资源为依托、以产品为基础、以市场为导向、以效益为中心、以大地湾文化、当地民俗文化为底蕴，在有效保护的前提下，科学引导，突出重点，讲究特色，合理开发，合理布局，推动大地湾文化旅游业快速发展。以创建华夏文明传承创新区和建设大地湾大景区为目标，辐射带动女娲文化和三国文化发展，以完善旅游基础设施为重点，打造核心景观，增加观赏点，丰富景区内容，将遗址保护和开发建设有机结合起来，以保护挖掘大地湾文化为主题，建设集学术研究、休闲娱乐、文化展示、旅游度假为一体的大地湾遗址大景区，促进农民增收，推动文化旅游、生态保护与经济社会协调发展。		2017	2023	华夏文明传承，女娲文化，文化遗产，旅游景区	新建	
63	少数民族少儿读物数字出版平台建设项目			云南晨光出版社有限责任公司	云南	昆明		500	根据数字化出版的技术要求，结合已有资源和少数民族语言文字发展现状，云南晨光出版社有限责任公司拟投资500.00万元在云南省昆明市西山区环城西路609号搭建“少数民族少儿读物数字出版平台”，该平台具备一套完备的多媒体信息采集制作系统，并构建与之相匹配的数字资源数据库，数字出版物推送平台，实现数字产品的采集、编辑、加工与发行。项目总投资500.00万元，其中固定资产投资463.17万元，其他资金36.83万元。“少数民族少儿读物数字出版平台”采用计算机技术、通讯技术、网络技术、流媒体技术、存储技术、显示技术等高新技术初步构建。	本项目主要作为公益性项目，以社会效益为主，以微利为辅。通过数字出版的进一步延伸，探讨新的数字出版盈利模式，本项目以移动端APP下载付费、在线读书APP付费、广告费等三种方式作为企业的盈利点，维持企业的正常运行和长远发展。项目利用晨光出版社的图书发行优势，通过宣传推广，利用各种媒体扩大影响力，通过组织读书活动、作家进校园、边疆地区图书发行、开展在线阅读、植入广告等形式以获得经济效益。经过财务测算和分析，项目建成后，正常经营年份年营业收入195.00万元，年增值税19.78万元，年营业税金及附加1.98万元，年利润总额66.16万元，年税后利润49.62万元，所得税16.54万元。项目投资利润率13.23%，投资利税率17.58%，销售利润率33.93%，税前财务内部收益率为13.00%，税后财务内部收益率为10.46%，税前财务净现值179.93万元，税后81.43万元；税前投资回收期10.71年，税后投资回收期12.53年（其中均含建设期）。项目的预期负荷达到约55.22%，即可保本不发生亏损。	2017	2018	数字化出版，数字出版平台，数字出版物，少儿读物	新建	
64	山西转型综改示范区年产20MW超高效薄膜太阳能组件示范生产基地项目	新能源	新能源	太原氦舶新能源有限责任公司	山西	太原	民营	5764.71	"太原氦舶新能源有限责任公司拟投资5,764.71万元在山西转型综改示范区建设年产20MW超高效薄膜太阳能组件示范生产基地，租赁场地3,000.00㎡，主要建设洁净厂房2,500.00㎡、研发实验室500.00㎡，购置超高效薄膜太阳能组件示范生产线及其他配套设备。项目秉持“促进新能源发展和节能减排”的经营理念，将基地定位为“山西最为重要的示范性工程”，将基地打造成全国范围内新能源行业内最具有行业引领性、结构引导性、技术领先性的重要省级示范工程之一。项目建成达产后，年产新型柔性热载子太阳能组件20MW，产品年销售收入可达到20,000.00万元，实现年税1,560.05万元。"	"项目总投资5,764.71万元，其中：项目建设投资4,913.24万元，铺底流动资金851.47万元。经过财务测算和分析，本项目全部达产运营后（正常年份）年收入20,000.00万元，年增值税673.50万元，年销售税金及附加87.55万元，项目正常年份利润总额为3,196.01万元，年上缴所得税额为799.00万元，税后利润为2,397.00万元；项目投资利润率41.23%，项目投资利税率51.05%，税前财务内部收益率为44.36%，税后财务内部收益率为33.58%，税前财务净现值10,379.20万元，税后6,780.40万元；税前投资回收期4.00年，税后投资回收期4.91年，其中均含建设期1年。"	2017	2018	超高效薄膜太阳能组件，铜铟镓硒，新型柔性热载子太阳能组件	新建	
65	搭建试验平台进口试验设备项目			北京福田戴姆勒汽车有限公司	北京	顺义	外资	20542.54			2017	2018	液压伺服试验台，车桥试验台，盐雾试验箱，臭氧老化试验箱，汽车检测	新建	
66	20万吨/年固体危险废物回收处置及资源化利用项目	环境治理	环境治理	裕源祥国际投资有限公司	贵州	铜仁	民营	66986.6	拟建设一座工业固体废物（含危险废物）回收处置及资源化利用项目，采用焚烧、固化、物化、安全填埋等方式处置危险废物。主要工程内容为：物化处理车间、危险废物固化处理所、焚烧车间、危险废物安全填埋场、危险化学品仓库、成品仓库、污水集中处理站、维修车间、办公及分析化验室、食堂及宿舍、输电站、配电房及其辅助设施等。 	"项目总投资66,986.60万元，其中：项目建设投资51,740.47万元，铺底流动资金15,246.13万元。"	2016	2018	固体危险废物回收处置，危险废物治理	新建	
67	时空大数据管理与应用技术工程实验室创新能力建设项目			正元地理信息有限责任公司	北京	顺义	国企	3120	本项目拟利用正元地理信息有限责任公司现有基础设施及研发条件，通过增添必要的、先进的科研仪器设备和软件工具，在1500平方米办公场所内建设时空大数据管理与应用技术北京市工程实验室。1.建设时空大数据云平台计算中心机房，建设面积700平方米。2.建设时空大数据处理中心，建设面积500平方米。3.建设一个系统平台软件开发中心，建设面积300平方米。 		2017	2019	地理信息大数据，工程实验室，时空大数据云平台，空间数据	新建	
68	天使除菌宝项目			浙江华艺生物科技股份有限公司	浙江	杭州	民营	2000		项目总投资2000万元，其中场地装修费16万元、设备购置费113万元、其他期间费1643万元（其中工程建设其他费6万元、品牌策划与宣传推广费1500万元、预备费137万元）、铺底流动资金227万元。	2017	2018	气雾剂，空气除菌剂，杀菌剂，除菌产品	新建	
69	嘉峪关市舜辰颐养中心医养融合方案项目	养老服务业	养老服务业	嘉峪关市舜辰颐养中心	甘肃	嘉峪关	民营	2500	项目计划投资2500.00万元，在嘉峪关市民政路(舜辰颐养中心内)建设“医养结合”型的嘉峪关市舜辰颐养中心医养融合项目，主要建设老年医院和医养融合“互联网+”数字广播电视网络智慧医养服务模式和医养结合服务平台。项目拟引进国内外先进医疗设施，配套相应的水、电、气及辅助设施。嘉峪关舜辰颐养中心占地面积1.6万平方米，老年医院1948.40㎡，设计床位120张，主要设置内科（心脑血管病）、中医科、康复科、临终关怀病房等临床科室以及药房、B超室、心电图室、检验、放射等医技科室。智能健康养老平台主要进行平台的开发设计与设备采购，通过感知技术、物联网技术和云计算技术形成养老大数据，为老年人提供全天候无所不在的呵护。	项目总投资2500.00万元，其中建设投资2432.11万元（其中房屋改造及装修费87.68万元、设备购置费2144.40万元、场地租赁费11.69万元、工程建设其他费用72.53万元、预备费115.81万元），铺底流动资金67.89万元。项目总投资2500.00万元，全部来自嘉峪关市舜辰颐养中心自筹资金。项目建成后，正常经营年份年营业收入679.64万元，年利润总额208.77万元，年税后利润208.77万元，项目投资利润率7.85%，销售利润率30.72%，税后财务内部收益率为15.44%，税后财务净现值574.23万元，税后投资回收期8.12年，其中均含建设期6个月。	2016	2017	养老，医养融合，健康养老，智慧养老	新建	
70	PPP产业建设管理股权融资项目			湖北金谷融行信息技术有限公司	湖北	武汉	民营	10000	"1、金谷融行PPP产业建设管理股权融资项目拟投资10000.00万元，主要用于PPP项目引导基金的股权投资
2、办公设备、车辆等购买、办公楼购置均在项目实现利润以后再行决定。"		2016	2020	PPP项目平台，SPV管理，PPP项目咨询	新建	
71	抗肿瘤单克隆抗体药物产业化项目	生物医药	生物医药	神州细胞工程有限公司	北京	亦庄	民营	20000	该项目的建设内容主要包括抗肿瘤单克隆抗体药物的临床III期研究和4x2000升CHO细胞培养规模的GMP生产线建设。目前，该项目已经具备扎实的前期工作基础。在产品研发方面，CD20 单克隆抗体已完成临床I期，II期研究，获得了与美罗华完全等效的药代动力学临床研究结果，并已与2016年全面启动临床III期研究，预计2017年完成全部III期研究病人的入组，2018年完成临床III期研究并申报上市。神州细胞研制抗肿瘤单克隆抗体品种还有全人EGFR单克隆抗体药物和VEGF单克隆抗体药物。EGFR抗体是自主研制地best-in-class创新抗体I类新药，前期临床研究结果显示其显著优于国外同类抗体产品的竞争优势，即将进入临床III期研究。VEGF抗体也将于2017年启动临床III期研究。在硬件设施建设方面，该项目已完成全部土建工作。GMP生产线的概念设计和工程设计也已全部完成。项目下一步的建设内容主要包括生产线设备，工程工程配套设施的采购，安装，调试，洁净厂房的建设和GMP验证，产品的临床研究和试生产。		2016	2018	抗体药物，单克隆抗体药物，分子靶向药物，抗肿瘤单克隆抗体药物，产业化	新建	
72	怀来新兴产业示范园肠衣综合基地项目	农副食品加工业	农副食品加工业	河北秋实生物科技有限公司	河北	张家口	民营	150000	项目拟投资15亿元在河北省张家口市怀来新兴产业示范园建设秋实农业怀来新兴产业示范园肠衣综合基地。项目分三期建设，其中一期投资10亿元，二期投资3亿元，三期投资2亿元。本项目一期占地130亩（86666.67平方米），建筑面积95200.00平方米，投资100025.15万元，主要建设生产区、工业展区、仓储物流区、研发区、办公区、管理区、交易区、培训区、生活配套区等九大区域。主要建筑物：胶原肠衣一体化生产车间、高级明胶一体化生产车间、世界肠衣交易中心、世界肠衣博物馆、北京秋实农业股份有限公司总部、实验研发中心、培训中心、世界肠衣交易中心、肠衣大数据管理中心、秋实华北仓储物流中心、世界肠衣博物馆以及专家公寓以及配套工程等，并购置各种生产、研发及辅助设备。建设规模：年产天然肠衣1000万根、胶原蛋白肠衣10亿米、可食用明胶2000吨、其他副产品2000公斤，同时通过培训、仓储、交易等取得相关的服务收入。预计实现年销售收入可达到105000.00万元，实现利税26029.02万元，提供就业岗位1500个。	项目正常经营年份年营业收入105000.00万元，年利润总额18508.20万元，年税后利润15731.97 万元，税金总额 10297.05 万元，项目投资利润率15.70%，投资利税率22.08%，销售利润率17.63%，税后财务内部收益率为19.50%，税后财务净现值67388.59万元，税后投资回收期8.33年，其中均含建设期2年。项目的预期产能达到约59.21%，即可保本不发生亏损。	2017	2018	天然肠衣，胶原蛋白肠衣，可食用明胶，胶原蛋白，湿法胶原蛋白	新建	
73	鱼台县智慧城市建设项目			鱼台县住房和城乡规划建设局	山东	济宁	PPP	26315.71	本项目建设范围覆盖鱼台县主城区20平方公里区域及张黄工业园11平方公里区域。项目涉及的建设领域涵盖城市建设管理的方方面面，包括基础网络、云服务、政务办公、公共安全、城市管理、市政基础设施、生活环境、交通、旅游、农业、公众服务、特色产业园、专项治理等方面，共十五个专项。		2017	2026	智慧城市，信息化，大数据云计算中心，城市4D数据，智慧政务云，	新建	
74	高端胶原蛋白系列产品生产线和高端羊肠衣加工项目	农副食品加工业	农副食品加工业	西藏秋实农业发展有限公司	西藏	那曲	民营	70053.65	项目建设内容：租赁厂房并装修，占地面积200亩（133333.33㎡），建筑面积159600.00㎡，主要建筑物包括：一体化生产车间、原料区、成品区、办公住宅区、冷库、辅助用房以及其他配套设施。购置胶原蛋白系列产品生产线、高端羊肠衣产品生产线等多套设备。同时采用“公司+农户”合作方式，进行牧草种植、牦牛、藏羊养殖等业务，带动农牧民创业增收。项目建成达产后，年产天然肠衣300万根、肝素钠500公斤、蛋白类产品500吨、微生态制剂1000公斤、胶原蛋白肠衣5亿米、可食用明胶450吨、功能性胶350吨、骨胶原200吨，同时可取得牧草种植与牛羊养殖产生的收入。预计实现年销售收入可达到54795.00万元，实现利税19461.20万元，提供就业岗位672个。	经过财务测算和分析，本项目全部达产运营后（正常年份）年收入54795.00万元，年增值税3826.75万元，年销售税金及附加382.67万元，项目正常年份利润总额为15251.78万元，年上缴所得税额为2287.77万元，税后利润为12964.01万元；项目投资利润率11.15%，项目投资利税率14.23%，税前财务内部收益率为14.44%，税后财务内部收益率为12.42%，税前财务净现值35578.98万元，税后19226.31万元；税前投资回收期12.37年，税后投资回收期14.87年，其中均含建设期2年。	2016	2018	天然肠衣，胶原蛋白肠衣，可食用明胶，胶原蛋白，湿法胶原蛋白，肝素钠，骨胶原	新建	
75	撬装式加油站项目			黑龙江省优圣尔加油设备有限公司	黑龙江	肇东	民营	15015.1	"公司拟投资15,015.10万元在肇东市经济开发区工业园区建设黑龙江省优圣尔撬装式加油站项目，项目占地120亩，建设具体包括：生产车间、原料车间、库房、室外大型门吊作业现场、办公楼、职工宿舍、食堂、库房、锅炉房及公共活动区等辅助工程，购置加工、焊接、检测、办公及辅助设备，准备流动资金。建成达产后，年产各类撬装加油设备580台，预计产品年销售收入可达到18,726.00万元，实现利税4,506.08万元，提供就业岗位252个。"	"经过财务测算和分析，本项目全部达产运营后（正常年份）年收入18,726.00万元，年增值税1,100.40万元，年销售税金及附加143.05万元，项目正常年份利润总额为3,262.63万元，年上缴所得税额为489.39万元，税后利润为2,773.23万元；项目投资利润率18.92%，项目投资利税率26.14%，税前财务内部收益率为22.11%，税后财务内部收益率为18.90%，税前财务净现值9,650.52万元，税后6,994.52万元；税前投资回收期6.39年，税后投资回收期7.25年，其中均含建设期1年。"	2013	2014	撬装式加油站，加油装置	新建	
76	淡水循环环保海水生态养殖海产项目			安徽优质海产养殖有限公司	安徽	六安	民营	50000	"拟投资5亿元在安徽六安金安经济开发区购置500亩建设淡水循环环保海水生态养殖海产项目，项目1期拟投资12,008.70万元，占用土地100亩，年产沙巴龙胆、海斑500万尾，建设办公大楼、科研中心、生产养殖车间、职工宿舍、食堂等基础设施以及配套的道路、绿化等，并购置科研设备、养殖设备等，准备铺底流动资金。"	"经过财务测算和分析，本项目全部达产运营后（正常年份）年收入36,000.00万元，年增值税0.00万元，项目正常年份利润总额为11,179.60万元，年上缴所得税额为1,676.94万元，税后利润为9,502.66万元；项目投资利润率89.19%，项目投资利税率89.19%，税前财务内部收益率为68.42%，税后财务内部收益率为62.85%，税前财务净现值42,446.76万元，税后36,090.94万元；税前投资回收期3.04年，税后投资回收期3.16年，其中均含建设期1年。"	2016	2017	低碳高效池塘循环流水养殖，循环水养殖，淡水循环环保海水生态养殖	新建	
77	华东医学影像及检测服务综合中心项目	医疗卫生行业	医疗卫生行业	中那美集团	上海	普陀	民营	30096.95	"拟投资30,096.95万元在上海市普陀区真南路同济大学沪西校区建立独立医学影像中心、第三方检验中心、基因检测中心及科技成果转化示范中心，同时购置影像设备、检验设备、基因检测设备及其他配套设备。"	"经过财务测算和分析，本项目全部达产运营后（正常年份）年收入21,156.50万元，年增值税588.93万元，年销售税金及附加76.56万元，项目正常年份利润总额为6,276.24万元，年上缴所得税额为1,569.06万元，税后利润为4,707.18万元；项目投资利润率15.56%，项目投资利税率17.21%，税前财务内部收益率为18.87%，税后财务内部收益率为14.41%，税前财务净现值14,530.71万元，税后7,065.33万元；税前投资回收期7.96年，税后投资回收期9.80年，其中均含建设期2年。"	2016	2018	医学影像中心，独立第三方医疗机构，医学检测中心，基因检测中心	新建	
78	公安信息化建设项目			天祝藏族自治县公安局	甘肃	武威	政府	2909.936	"项目建设540点监控以及中心软件，为提升天祝县的治安管理提供现代化的指挥手段：
1.在天祝县区域共安装510套高清摄像机；
2.在道路交通卡口未覆盖区域共安装30套微型道路卡口单元；
3.更换指挥中心大屏幕显示设备；
4.升级指挥中心计算机网络系统；
5.新建指挥中心数据云存储系统；
6.新建指挥中心机房系统；
7.指挥中心大厅装修改造；
8.新建一套公安网侦系统；
9.新建一套公安图侦系统。"		2017	2018	公安信息化，监控，视频监控管理平台，公安视频	新建	
79	年产15000吨五氧化二钒项目	有色金属	有色金属	新疆葱岭钒钛有限公司	新疆		民营	400052.25	"本项目拟在新疆克州阿克陶县布伦口乡奥依塔克工业园区建设集“五氧化二钒、钒氮合金、钛原料生产以及高性能高品质新材料开发” 等于一体的具有现代化可持续发展的、凸显社会经济效益和示范作用的以“钒钛制品加工、销售”为依托的现代化高科技钒钛资源综合利用的示范型企业。项目总投资约35亿元，用地面积2000亩，工程总建筑面积70.32万平方米。其中生产系统建筑面积38.00万㎡，辅助生产系统4.02万㎡。项目建成后可处理钒钛磁铁矿粉350万吨，年产80钒铁1万吨、五氧化二钒1.5万吨、钛精粉6万吨、高性能高品质特钢200万吨，带动地方就业约4000人，实现收入788,500.00万元。项目总投资400,052.25万元，其中建设投资275,220.27万元（其中建安工程费107,151.57万元、设备购置费121,237.40万元、土地使用费800.00万元、工程建设其他费用6,875.67万元、技术开发费7,885.00万元、预备费31,270.63万元），铺底流动资金24,831.98万元。"		2017	2019	五氧化二钒，钒钛磁铁矿粉，钒铁，钛精粉，80钒铁	新建	
80	3000吨/年新型复合三元铜粉项目	有色金属	新材料	山东中科圣创微纳科技发展有限公司	山东	淄博	民营	14900	"项目拟投资14900.00 万元，在山东省淄博市建立年产3,000吨的新型复合铜粉生产基地，为国内有机硅产业发展提供关键原料。项目建设内容为：计划用地70亩（其中租赁土地20亩，购买土地50亩），租赁建筑物建筑面积2,800㎡（其中厂房2,000㎡，办公及实验室800㎡），新建建筑物建筑面积16,500㎡（其中：二期生产车间6,000㎡、三期生产车间4,000㎡、研发中心1,800㎡、包装车间1,200㎡、仓库1,500㎡、职工餐厅及休息室2,000㎡），道路及其它20,700.1㎡，绿化11,666.7㎡。"	"项目总投资14900.00 万元，其中：建安工程费3661.20万元、设备购置费5499.00万元、土地购置费1100.00万元、其他期间费3557.47万元（其中：工程建设其他费用504.20万元、研发测试费2300.00万元，预备费753.27 万元），铺底流动资金1082.33万元。项目正常经营年份年营业收入30,000.00万元，年利润总额11431.15 万元，年税后利润8573.36 万元，税金总额 5589.14 万元，项目投资利润率68.76%，投资利税率85.19%，销售利润率38.10%，税后财务内部收益率为63.47%，税后财务净现值40804.61 万元，税后投资回收期3.77年，其中均含建设期3年。项目的预期产能达到约34.08 %，即可保本不发生亏损。"	2017	2019	新型复合铜粉，复合粉体，有机硅，有机硅复合铜粉	新建	
81	年产100万吨水煤浆项目			湖南红色久久新能源科技有限公司	河北	石家庄	民营	15000	"项目分三期完成，一期征用土地150亩（用于第一期、第二期用地），岸线150米，三艘100吨级船舶停靠。第三期再征用土地50亩。建筑总面积54681平方米。主要建设内容有：生产厂房建筑面积32048平方米，原料库、成品库建筑面积11041平方米，水泵房等辅助生产配套设施建筑面积3300平方米，办公综合楼等管理和生活用房建筑面积8292平方米。道路及广场18585平方米，绿化33333.35平方米，绿化率25%。大门、围墙及厂区管网等。
项目投入总资金15000万元，其中第一期投入资金8000万元，建设年产量25万吨/条的生产线两条；第二期投入资金2500万元，增加年产量25万吨/条的生产线一条；第三期投入资金2500万元，增加年产量25万吨/条的生产线一条。"		2016	2018	水煤浆，清洁能源，新型洁净煤燃料，液体煤炭新能源	新建	
82	高性能材料产业园区项目		新材料	太原氦舶新能源有限责任公司	山西	太原	民营	200191.65	建立汽车项目产品一体化厂房30亩、光伏项目产品一体化厂房30亩、电子项目产品一体化厂房亩。购置10条太阳能电池组件生产线、15条汽车用品生产线、10条电子芯片生产线及其他配套设备。	"经过财务测算和分析，本项目全部达产运营后（正常年份）年收入1,000,000.00万元，年增值税17,904.87万元，年销售税金及附加2,327.63万元，项目正常年份利润总额为68,900.29万元，年上缴所得税额为17,225.07万元，税后利润为51,675.22万元；项目投资利润率27.56%，项目投资利税率35.65%，税前财务内部收益率为28.87%，税后财务内部收益率为24.51%，税前财务净现值134,414.75万元，税后93,256.00万元；税前投资回收期7.35年，税后投资回收期8.09年，其中均含建设期5年。"	2016	2021	高性能材料，锌空气电池，太阳能电池组件，芯片	新建	
83	开放式海洋牧场养殖示范化项目		水产养殖	文登鑫宇海洋生物科技有限公司	山东	威海	民营	126055.45	本项目规划在威海市文登区泽库镇西南部海域投资126055.45万元建设“文登鑫宇开放式海洋牧场养殖示范化项目”。项目内容包括：1、港区疏浚及造礁942.073公顷(ha)；近海养殖区域500.853公顷(ha)，深海区域441.22公顷(ha)；2、布置80个鱼礁群，用海面积720公顷，真本项目全部海域面积的76.43%。每个鱼礁群投礁规模20400 m?.空，80个鱼礁群，总投礁规模为1632000m?。	经过财务测算和分析，本项目（正常年份）年收入292000.00万元，年增值税39974.14万元，年销售税金及附加5196.64万元，项目正常年份利润总额为212387.29万元，年上缴所得税额为53096.82万元，税后利润为159290.46万元；项目投资利润率110.46%，项目投资利税率133.96%，税前财务内部收益率为340.62%，税后财务内部收益率为179.45%，税前财务净现值930021.70万元，税后679747.44万元；税前投资回收期1.65年，税后投资回收期2.25年，其中均含建设期2年。	2016	2018	海水养殖，海洋牧场，海参养殖，扇贝养殖，水产养殖，海洋产业	新建	
84	智慧旅游一体化综合服务平台项目	旅游服务业	大数据	多彩贵州优客科技有限公司	贵州		民营	2500	"项目拟投资2,500.00万元，以“多彩贵州城”项目为载体，引进并融合先进“物联网、云计算、大数据”等技术在贵州省乃至全国开展“大数据+互联网+智慧旅游”项目，研发和构建蕴含多彩大数据平台和智慧旅游一体化的信息综合服务平台等基础设施建设，重点推进贵州省大数据产业及智慧旅游的发展，把贵州省打造成一个“云概念”的信息化智慧旅游城市。"	"经过财务测算和分析，本项目全部达产运营后（正常年份）年收入5,000.00万元，年增值税177.30万元，年销售税金及附加23.05万元，项目正常年份利润总额为1,086.37万元，年上缴所得税额为271.59万元，税后利润为814.78万元；项目投资利润率37.40%，项目投资利税率44.29%，税前财务内部收益率为33.22%，税后财务内部收益率为27.92%，税前财务净现值2,911.76万元，税后2,003.86万元；税前投资回收期5.17 年，税后投资回收期5.73年，其中均含建设期12个月。"	2016	2017	智慧旅游，旅游大数据，智慧旅游服务平台	新建	
85	绿色节能门窗幕墙生产基地项目		其他建筑材料制造	北京建威幕墙工程有限公司	河北	保定	民营	20028.45	"购置厂房并装修（133333.33㎡），配套设施安装。购置多位液压冲床、三轴/四轴加工中心、三轴/四轴端铣机、全自动双翻双工位玻璃切割流水线等配套设备200余套。项目建成达产后，年产节能门窗12万㎡，玻璃幕墙7.5万㎡。门窗幕墙产品年销售收入可达到20,400.00万元，实现利税9,651.43万元，提供就业岗位153个。"	"经过财务测算和分析，本项目全部达产运营后（正常年份）年收入20,400.00万元，年增值税1,745.20万元，年销售税金及附加226.88万元，项目正常年份利润总额为7,679.35万元，年上缴所得税额为1,919.84万元，税后利润为5,759.51万元；项目投资利润率32.58%，项目投资利税率40.95%，税前财务内部收益率为31.05%，税后财务内部收益率为24.10%，税前财务净现值24,275.22万元，税后15,557.76万元；税前投资回收期5.75年，税后投资回收期6.93年，其中均含建设期24个月。"	2016	2018	幕墙，玻璃幕墙，建筑幕墙，节能门窗	新建	
86	医学影像诊断中心项目	医疗卫生行业		四川省善道医院投资有限公司	四川	成都	民营	29326.05	项目拟投资29326.05万元在成都市武侯区人民南路四段建立四川善道医学影像中心，具体包括：租赁医学影像中心办公场地并装修，购进超声（UM）、DR、64CT、1.5T MRI、PACS终端等医疗影像设备，并投资配置区域基层医疗机构设备。同时项目将构建“远程诊断”、“远程教育”、“远程会诊”与“远程服务”四大核心平台，在医疗合作方面，初期与10家社区和乡镇医疗机构合作，并购置相关影像设备，后期逐渐打通全市二级、三级医院与社区卫生服务中心等基层医疗机构的业务通道和数据、信息通道，实现优质医疗资源共享，开创在线医疗卫生服务新模式。	项目总投资29326.05万元，其中建设投资28333.89万元（其中建安工程费300.00万元、设备购置费26064.15万元、场地租赁费900.00万元、软件购置费100.00万元、工程建设其他费用144.48万元、预备费825.26万元），铺底流动资金992.16万元。项目建成后，正常经营年份年营业收入13350.00万元，年利润总额7582.15万元，项目投资利润率24.47%，销售利润率56.80%，税前、税后财务内部收益率为23.02%，税前、税后财务净现值13480.45万元，投资回收期7.31年，其中均含建设期36个月。	2016	2019	医学影像诊断中心，医学影像中心，DR设备，医学影像诊断平台	新建	
87	纯电动汽车开发制造项目			青海美田新能源科技有限公司	青海	西宁	民营		本项目根据市场需求预测及零部件供应情况，拟定纯电动轿车生产一期（2017年）标准产能按10000辆/年，二期达到整车产能100000辆/年。		2016	2019	纯电动轿车，纯电动扫路车，纯电动垃圾车，纯电动汽车	新建	
